Lat,Log,AVG_dB_Value,,,,,,
25.0376269,121.5017121,55.86170213,,,,,,
25.0375236,121.5017033,54.1869565,,,,,,
25.0372156,121.50164,55.1396396,,,,,,
25.0366927,121.5016505,55.1173184,,,,,,
25.0366752,121.5026668,54.751462,,,,,,
25.036319,121.50151,54.3408521,,,,,,
25.0360776,121.5014187,54.5945419,,,,,,
25.036083,121.5012251,54.57543103,,,,,,
25.036067,121.5007114,54.6900585,,,,,,
25.035998,121.5004189,54.57589286,,,,,,
25.0356876,121.4999424,53.46531792,,,,,,
25.0354885,121.4994044,1.22187448,,,,,,